1549;ООО "ЛИК-центр";107045 г.Москва,Рождественский бульвар, д.17 м Трубная (440 м);Стоматология;4 7 3 6 5;STOMATOLOGY;55.766749;37.628631;http://www.likdent.ru/;+7 (495) 628-00-70
4105;ООО "СМ-Клиника";125130, Россия, г. Москва, ул. Клары Цеткин, дом 33, корп. 28 ;Амбулаторно-поликлиническая помощь без стоматологии, без помощи на дому;7 5бс 6 6бс 5 7бс;AMBULATORY;55.827838;37.514266;https://www.smclinic.ru/;+7 (495) 266-38-68
4119;ООО Медико-оздоровительный центр "Южный";123022, г. Москва, ул. Красная Пресня, д. 30, стр. 1 м.Улица 1905 года (480м);Амбулаторно-поликлиническая помощь без стоматологии, без вызова врача на дом;2.1;AMBULATORY;55.762277;37.568165;https://yuzhny.ru/;+7 (495) 315-51-63
2064;Единый Федеральный контакт-центр ООО СК "ВТБ Страхование" г. Москва;101000, г. Москва, Чистопрудный бульвар, д. 8, стр. 1;Помощь на дому в пределах 50 км от МКАД;1бс 2бс 4 3бс 5бс 4бс 2 2.1 6бс 5 9 1 7 6 3 7бс;HOMECARE;55.762733;37.640704;https://www.vtbins.ru/;8 (800) 100-44-40
7704;Общество с ограниченной ответственностью "Городской медицинский центр";141006, Россия, обл Московская, г. Мытищи, ул. Рождественская, дом 7;Амбулаторно-поликлиническая помощь без стоматологии, помощь на дому в пределах административных границ города;1бс 1 7 6 6бс 7бс;AMBULATORY HOMECARE;55.919261;37.753577;https://www.mosmedcentre.ru/;+7 (495) 496-74-24
4637;ООО "Лэйтонс";124482, г. Москва, г. Зеленоград, Савелкинский  проезд д. 4;Амбулаторно-поликлиническая помощь без стоматологии, вызов врача на дом в пределах административных границ города;4 3бс 7 5бс 4бс 3 6 6бс 5 7бс;AMBULATORY HOMECARE;55.991042;37.217238;http://www.med-det.ru/;8 (800) 234-58-34
5661;ООО "Куратор";142600, Московская область, г. Орехово-Зуево, ул. Ленина, д. 44;Амбулаторно-поликлиническая помощь без стоматологии, без помощи на дому;7 6 6бс 7бс;AMBULATORY;55.802406;38.981988;http://www.kyrator.ru/;+7 (495) 507-18-22
4632;ООО "КМ-Клиник";117292, Россия, г. Москва, ул. Дмитрия Ульянова, дом 6, корп. 1 ;Амбулаторно-поликлиническая помощь без стоматологии, помощь на дому в пределах МКАД;4 7 5бс 4бс 6 6бс 5 7бс;AMBULATORY HOMECARE;55.689486;37.561877;https://kmklinik.ru/;+7 (499) 271-04-42
6179;ООО "Клиника на Ленинском";119269, г. Москва, Ленинский проспект, д. 67, к. 2;Амбулаторно-поликлиническая помощь без стоматологии, без вызова врача на дом;4 3бс 7 5бс 4бс 3 6 6бс 5 7бс;AMBULATORY;55.690263;37.553864;нет данных;нет данных
6185;ООО "Мед-Лидер" (бренд АВС-МЕДИЦИНА);119021, г. Москва, ул. Льва Толстого, д. 10, стр.1 м. Парк Культуры	;Амбулаторно-поликлиническая помощь без стоматологии, вызов врача на дом в пределах МКАД;1бс 2бс 4 1 3бс 5бс 4бс 3 2 5;AMBULATORY HOMECARE;55.732433;37.589545;http://www.abc-medicina.com/;+7 (495) 223-38-83
